GEOID,NAME,totpop,propwhite,medincome,propdegree,geometry,census_tract,count
36047005900,"Census Tract 59, Kings County, New York",1429,0.038691564710062853,57143,0.7766441785325775,"list(list(c(-74.0117, -74.010451, -74.0092, -74.006919, -74.006713, -74.006623, -74.005819, -74.00596, -74.005675, -74.004473, -74.003431, -74.003346, -74.003018, -74.002255, -74.001539, -74.000699, -74.001213, -74.001354, -74.003194, -74.003503, -74.004764, -74.006491, -74.006298, -74.008302, -74.009544, -74.011055, -74.0117, 40.679365, 40.680431, 40.681496, 40.683451, 40.683615, 40.683658, 40.683656, 40.683363, 40.68293, 40.680993, 40.679708, 40.67963, 40.679148, 40.678205, 40.677268, 40.675571, 
40.67587, 40.675791, 40.676271, 40.675631, 40.67671, 40.677194, 40.677604, 40.67897, 40.677898, 40.678926, 40.679365)))",36047005900,2
36047006800,"Census Tract 68, Kings County, New York",5290,-0.2031236023078491,40857,0.28678330342514696,"list(list(c(-74.029357, -74.029134, -74.028658, -74.028279, -74.025666, -74.025472, -74.02291, -74.023235, -74.023518, -74.023884, -74.024238, -74.026039, -74.026951, -74.029633, -74.029357, 40.634837, 40.635373, 40.636546, 40.637468, 40.636667, 40.63714, 40.636108, 40.635318, 40.634616, 40.633724, 40.632859, 40.633303, 40.633516, 40.634153, 40.634837)))",36047006800,3
36047007400,"Census Tract 74, Kings County, New York",6061,-1.3211261926763775,46204,-0.20960905001704933,"list(list(c(-74.019011, -74.017926, -74.017877, -74.01607, -74.013814, -74.01498, -74.015562, -74.016167, -74.018422, -74.020212, -74.019011, 40.643165, 40.644233, 40.644201, 40.643109, 40.641745, 40.640626, 40.640067, 40.639483, 40.640846, 40.641981, 40.643165)))",36047007400,3
36047007600,"Census Tract 76, Kings County, New York",4775,-1.0887323958020205,32996,-0.4773996617424447,"list(list(c(-74.016651, -74.016086, -74.015533, -74.011484, -74.012649, -74.013814, -74.01607, -74.017877, -74.016651, 40.645331, 40.645882, 40.646418, 40.643986, 40.642866, 40.641745, 40.643109, 40.644201, 40.645331)))",36047007600,2
36047008200,"Census Tract 82, Kings County, New York",4148,-0.9568332137922503,35511,-0.4055534000600215,"list(list(c(-74.010308, -74.008545, -74.00675, -74.00449, -74.005074, -74.005659, -74.006824, -74.009082, -74.010915, -74.010308, 40.651483, 40.6532, 40.652071, 40.650706, 40.650147, 40.649584, 40.648465, 40.649829, 40.650938, 40.651483)))",36047008200,2
36047008400,"Census Tract 84, Kings County, New York",3860,-0.9568332137922503,49274,-0.38595896505572447,"list(list(c(-74.007977, -74.006231, -74.004465, -74.002677, -74.000413, -74.002144, -74.002751, -74.003908, -74.00449, -74.00675, -74.008545, -74.007977, 40.653727, 40.6554, 40.657072, 40.65599, 40.654629, 40.652956, 40.652385, 40.651266, 40.650706, 40.652071, 40.6532, 40.653727)))",36047008400,2
36047008800,"Census Tract 88, Kings County, New York",3397,-0.639647085625898,53528,-0.08551096165650052,"list(list(c(-74.00449, -74.003908, -74.002751, -74.002144, -73.997818, -73.998276, -73.998704, -73.999516, -74.000662, -74.002866, -74.005074, -74.00449, 40.650706, 40.651266, 40.652385, 40.652956, 40.650282, 40.649734, 40.649169, 40.648611, 40.647487, 40.648821, 40.650147, 40.650706)))",36047008800,3
36047010100,"Census Tract 101, Kings County, New York",4402,-0.6679111960565631,43779,-0.08551096165650052,"list(list(c(-74.003288, -74.002161, -74.000454, -73.99987, -73.998014, -73.997429, -73.995169, -73.998671, -74.000413, -74.002677, -74.004465, -74.003288, 40.658185, 40.659356, 40.661032, 40.661589, 40.660472, 40.661036, 40.659669, 40.656307, 40.654629, 40.65599, 40.657072, 40.658185)))",36047010100,2
36081029700,"Census Tract 297, Queens County, New York",2128,-0.07750533372711543,55536,0.28678330342514696,"list(list(c(-73.90651, -73.905245, -73.904512, -73.903512, -73.901996, -73.901553, -73.898773, -73.898552, -73.899608, -73.899703, -73.89948, -73.898863, -73.898738, -73.902472, -73.903923, -73.904917, -73.905154, -73.905294, -73.905575, -73.904847, -73.904561, -73.906315, -73.907794, -73.90651, 40.762109, 40.763687, 40.764589, 40.76585, 40.762122, 40.759626, 40.759916, 40.759926, 40.758386, 40.757783, 40.756247, 40.754712, 40.754154, 40.753763, 40.753611, 40.753505, 40.754858, 40.755628, 40.757178, 
40.757255, 40.759485, 40.759844, 40.760518, 40.762109)))",36081029700,2
36081030902,"Census Tract 309.02, Queens County, New York",7894,-0.6647707393420446,46136,0.2671888684208494,"list(list(c(-73.899608, -73.898552, -73.898773, -73.897345, -73.896024, -73.89324, -73.892899, -73.893829, -73.893473, -73.893188, -73.892803, -73.893734, -73.896522, -73.898738, -73.898863, -73.89948, -73.899703, -73.899608, 40.758386, 40.759926, 40.759916, 40.761977, 40.762062, 40.762354, 40.760533, 40.760435, 40.758451, 40.756898, 40.754778, 40.754681, 40.754389, 40.754154, 40.754712, 40.756247, 40.757783, 40.758386)))",36081030902,2
