GEOID,NAME,totpop,propwhite,medincome,propdegree,geometry,census_tract,count
36047005800,"Census Tract 58, Kings County, New York",3333,0.2365403377247187,50528,0.8942107885583606,"list(list(c(-74.035437, -74.034886, -74.032195, -74.029564, -74.028205, -74.029302, -74.030485, -74.033313, -74.03599, -74.035437, 40.619956, 40.62132, 40.620688, 40.619833, 40.619173, 40.617896, 40.616518, 40.617945, 40.618596, 40.619956)))",36047005800,1
36047005900,"Census Tract 59, Kings County, New York",1429,0.038691564710062853,57143,0.7766441785325775,"list(list(c(-74.0117, -74.010451, -74.0092, -74.006919, -74.006713, -74.006623, -74.005819, -74.00596, -74.005675, -74.004473, -74.003431, -74.003346, -74.003018, -74.002255, -74.001539, -74.000699, -74.001213, -74.001354, -74.003194, -74.003503, -74.004764, -74.006491, -74.006298, -74.008302, -74.009544, -74.011055, -74.0117, 40.679365, 40.680431, 40.681496, 40.683451, 40.683615, 40.683658, 40.683656, 40.683363, 40.68293, 40.680993, 40.679708, 40.67963, 40.679148, 40.678205, 40.677268, 40.675571, 
40.67587, 40.675791, 40.676271, 40.675631, 40.67671, 40.677194, 40.677604, 40.67897, 40.677898, 40.678926, 40.679365)))",36047005900,2
36047006200,"Census Tract 62, Kings County, New York",2818,0.2051357705795353,47050,-0.21614052835181508,"list(list(c(-74.033389, -74.033108, -74.032555, -74.029871, -74.027153, -74.027734, -74.027991, -74.02835, -74.033742, -74.033389, 40.624968, 40.625647, 40.62701, 40.626374, 40.625727, 40.624301, 40.623683, 40.622799, 40.624099, 40.624968)))",36047006200,1
36047006800,"Census Tract 68, Kings County, New York",5290,-0.2031236023078491,40857,0.28678330342514696,"list(list(c(-74.029357, -74.029134, -74.028658, -74.028279, -74.025666, -74.025472, -74.02291, -74.023235, -74.023518, -74.023884, -74.024238, -74.026039, -74.026951, -74.029633, -74.029357, 40.634837, 40.635373, 40.636546, 40.637468, 40.636667, 40.63714, 40.636108, 40.635318, 40.634616, 40.633724, 40.632859, 40.633303, 40.633516, 40.634153, 40.634837)))",36047006800,3
36047007400,"Census Tract 74, Kings County, New York",6061,-1.3211261926763775,46204,-0.20960905001704933,"list(list(c(-74.019011, -74.017926, -74.017877, -74.01607, -74.013814, -74.01498, -74.015562, -74.016167, -74.018422, -74.020212, -74.019011, 40.643165, 40.644233, 40.644201, 40.643109, 40.641745, 40.640626, 40.640067, 40.639483, 40.640846, 40.641981, 40.643165)))",36047007400,3
36047007600,"Census Tract 76, Kings County, New York",4775,-1.0887323958020205,32996,-0.4773996617424447,"list(list(c(-74.016651, -74.016086, -74.015533, -74.011484, -74.012649, -74.013814, -74.01607, -74.017877, -74.016651, 40.645331, 40.645882, 40.646418, 40.643986, 40.642866, 40.641745, 40.643109, 40.644201, 40.645331)))",36047007600,2
36047008200,"Census Tract 82, Kings County, New York",4148,-0.9568332137922503,35511,-0.4055534000600215,"list(list(c(-74.010308, -74.008545, -74.00675, -74.00449, -74.005074, -74.005659, -74.006824, -74.009082, -74.010915, -74.010308, 40.651483, 40.6532, 40.652071, 40.650706, 40.650147, 40.649584, 40.648465, 40.649829, 40.650938, 40.651483)))",36047008200,2
36047008400,"Census Tract 84, Kings County, New York",3860,-0.9568332137922503,49274,-0.38595896505572447,"list(list(c(-74.007977, -74.006231, -74.004465, -74.002677, -74.000413, -74.002144, -74.002751, -74.003908, -74.00449, -74.00675, -74.008545, -74.007977, 40.653727, 40.6554, 40.657072, 40.65599, 40.654629, 40.652956, 40.652385, 40.651266, 40.650706, 40.652071, 40.6532, 40.653727)))",36047008400,2
36047008800,"Census Tract 88, Kings County, New York",3397,-0.639647085625898,53528,-0.08551096165650052,"list(list(c(-74.00449, -74.003908, -74.002751, -74.002144, -73.997818, -73.998276, -73.998704, -73.999516, -74.000662, -74.002866, -74.005074, -74.00449, 40.650706, 40.651266, 40.652385, 40.652956, 40.650282, 40.649734, 40.649169, 40.648611, 40.647487, 40.648821, 40.650147, 40.650706)))",36047008800,3
36047009200,"Census Tract 92, Kings County, New York",5407,-1.3148452792473408,38042,-0.4643367050729134,"list(list(c(-74.001833, -74.001248, -74.000662, -73.998466, -73.996266, -73.996844, -73.997426, -73.998011, -74.000213, -74.002415, -74.001833, 40.646368, 40.646926, 40.647487, 40.646159, 40.644827, 40.644266, 40.643706, 40.643147, 40.644477, 40.645809, 40.646368)))",36047009200,1
