LICENSE_NBR,STATUS,CREATE_DATE,EXPIRATION_DATE,INDUSTRY,BUSINESS_NAME,address,BORO,Year,Year2,lon,lat,census_code,census_tract
1043663-DCA,Inactive,2011-11-10T00:00:00Z,2007-12-31T00:00:00Z,Cigarette Retail Dealer,PAVLATOS & NIFORATOS CORP.,303 E 46TH ST NEW YORK NY 10017,MANHATTAN,2011,2007,-73.9698038,40.7523227,360610090003001,36061009000
1376857-DCA,Inactive,2011-01-03T00:00:00Z,2011-12-31T00:00:00Z,Cigarette Retail Dealer,SEIKO 5 NY DELI GROCERY INC.,2163 2ND AVE NEW YORK NY 10029,MANHATTAN,2011,2011,-73.9402301,40.7940946,360610180003000,36061018000
1380020-DCA,Inactive,2011-01-04T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,346 DELI INC.,346 E 106TH ST NEW YORK NY 10029,MANHATTAN,2011,2012,-73.94073929999999,40.7896648,360610170003000,36061017000
1380454-DCA,Inactive,2011-01-10T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,HILLTOP GROCERY AT GRAND INC.,523 GRAND ST NEW YORK NY 10002,MANHATTAN,2011,2012,-73.98177480000001,40.7143184,360610002021002,36061000202
1380548-DCA,Inactive,2011-01-11T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,FALCAN GROCERY INC.,1916 ADAM CLAYTON POWELL JR BLVD NEW YORK NY 10026,MANHATTAN,2011,2012,-73.95292069999999,40.8031319,360610218003000,36061021800
1380554-DCA,Inactive,2011-01-11T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,SUPER DELI MINI MARKET INC.,1649 SAINT NICHOLAS AVE NEW YORK NY 10040,MANHATTAN,2011,2012,-73.92861100000002,40.857005,360610279006000,36061027900
1380570-DCA,Inactive,2011-01-12T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"EAST RIVER DELI GROCERY, INC.",330 E 106TH ST NEW YORK NY 10029,MANHATTAN,2011,2012,-73.9413317,40.78994220000001,360610170003000,36061017000
1076812-DCA,Inactive,2011-01-13T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"CHOUDHURY, SHAHIN & CHOUDHURY, RAZA",248 E 14TH ST NEW YORK NY 10003,MANHATTAN,2011,2012,-73.98542909999999,40.7323378,360610040001000,36061004000
1380694-DCA,Inactive,2011-01-13T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,FLORIDA DELI INC.,316 SAINT NICHOLAS AVE NEW YORK NY 10027,MANHATTAN,2011,2012,-73.95211479999999,40.8110919,360610257001000,36061025700
1381066-DCA,Inactive,2011-01-19T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,H & S DISCOUNT INC.,301 W 114TH ST NEW YORK NY 10026,MANHATTAN,2011,2012,-73.95655119999999,40.8033629,360610201022001,36061020102
1381170-DCA,Inactive,2011-01-20T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,M.A. FOOD CENTER CORP.,3852 10TH AVE NEW YORK NY 10034,MANHATTAN,2011,2012,-73.9196059,40.8638799,360610293002000,36061029300
1381690-DCA,Inactive,2011-01-28T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,NUVE MIGUEL CORP.,755 AMSTERDAM AVE NEW YORK NY 10025,MANHATTAN,2011,2012,-73.9696417,40.7944413,360610181003000,36061018100
1381564-DCA,Inactive,2011-01-28T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,LUZ HUMBERTO CORP.,801 AMSTERDAM AVE NEW YORK NY 10025,MANHATTAN,2011,2012,-73.9686316,40.7959946,360610185002000,36061018500
1381952-DCA,Inactive,2011-02-04T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,1220 IBB GROCERY CORP.,1220 SAINT NICHOLAS AVE NEW YORK NY 10032,MANHATTAN,2011,2012,-73.9381916,40.8429191,360610253002001,36061025300
1382134-DCA,Inactive,2011-02-07T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,STOP AND SHOP II CORP.,3866 10TH AVE NEW YORK NY 10034,MANHATTAN,2011,2012,-73.91927849999999,40.8643663,360610293002000,36061029300
1377411-DCA,Inactive,2011-02-07T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"TRAVEL TRADERS HOTEL STORES, INC.",270 W 45TH ST NEW YORK NY 10036,MANHATTAN,2011,2012,-73.9880093,40.758944,360610119002002,36061011900
1382364-DCA,Inactive,2011-02-09T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"325 2ND AVE DELI & GROCERY, CORP.",325 2ND AVE NEW YORK NY 10003,MANHATTAN,2011,2012,-73.98310409999999,40.7354643,360610048001000,36061004800
1382980-DCA,Inactive,2011-02-16T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,DUANE READE,1646 2ND AVE NEW YORK NY 10028,MANHATTAN,2011,2012,-73.95180239999999,40.7773445,360610146012000,36061014601
1382876-DCA,Inactive,2011-02-17T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,SUNNYSIDE UP CAFE INC.,177 MADISON AVE NEW YORK NY 10016,MANHATTAN,2011,2012,-73.9829852,40.7473591,360610074002000,36061007400
1383084-DCA,Inactive,2011-02-22T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,2194 NEW YORK DELI GROCERY CORP.,2194 AMSTERDAM AVE NEW YORK NY 10032,MANHATTAN,2011,2012,-73.9367201,40.8404755,360610251002000,36061025100
1383172-DCA,Inactive,2011-02-23T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,EL CHICO GROCERY CORP,197 MADISON ST NEW YORK NY 10002,MANHATTAN,2011,2012,-73.990182,40.7127803,360610006001002,36061000600
1384484-DCA,Inactive,2011-03-10T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,SEVENTH AVENUE DELI,2133.5 A C P JR BLVD NEW YORK NY 10027,MANHATTAN,2011,2012,-73.9479964,40.8102439,360610224002002,36061022400
1384538-DCA,Inactive,2011-03-11T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"ELLYS, LLC",605 2ND AVE NEW YORK NY 10016,MANHATTAN,2011,2012,-73.97650089999999,40.744364,360610070001000,36061007000
1384834-DCA,Inactive,2011-03-15T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"JIANG, JINRONG",94 MADISON ST NEW YORK NY 10002,MANHATTAN,2011,2012,-73.9957862,40.7120471,360610008003000,36061000800
1385108-DCA,Inactive,2011-03-16T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,COLUMBIA DELI AND GROCERY INC.,1270 AMSTERDAM AVE NEW YORK NY 10027,MANHATTAN,2011,2012,-73.95826819999999,40.8112086,360610211007000,36061021100
1385084-DCA,Inactive,2011-03-18T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,USHIR INC.,736 W 181ST ST NEW YORK NY 10033,MANHATTAN,2011,2012,-73.9376813,40.8505637,360610265004000,36061026500
1385358-DCA,Inactive,2011-03-21T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,MASTER BROTHERS CORP.,2442 BROADWAY NEW YORK NY 10024,MANHATTAN,2011,2012,-73.9742186,40.7908661,360610179007001,36061017900
1313996-DCA,Inactive,2011-03-21T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,MHM GROCERY STORE INC,4151 BROADWAY NEW YORK NY 10033,MANHATTAN,2011,2012,-73.9387179,40.8467302,360610263004001,36061026300
1385894-DCA,Inactive,2011-03-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,ST NICHOLAS QUICK TOBACCO SHOP CORP,1526 SAINT NICHOLAS AVE NEW YORK NY 10033,MANHATTAN,2011,2012,-73.93097630000001,40.85253609999999,360610269006001,36061026900
1282466-DCA,Inactive,2011-03-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"10TH AVENUE GOURMET #1, INC.",311 10TH AVE NEW YORK NY 10001,MANHATTAN,2011,2012,-74.0021747,40.750818,360610099001029,36061009900
1385654-DCA,Inactive,2011-03-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,696 GOURMET DELI INC.,696 3RD AVE NEW YORK NY 10017,MANHATTAN,2011,2012,-73.973925,40.751986,360610092001014,36061009200
