"","LICENSE_NBR","STATUS","CREATE_DATE","EXPIRATION_DATE","INDUSTRY","BUSINESS_NAME","address","BORO","Year","Year2"
"1","2017006-1-DCA","Inactive",2015-01-05,2015-12-31,"Cigarette Retail Dealer","GLOBAL GOURMET FOOD & GROCERY  CORP","9 E 208TH ST BRONX NY 10467","BRONX",2015,2015
"2","2017063-1-DCA","Inactive",2015-01-06,2015-12-31,"Cigarette Retail Dealer","757 DELI GROCERY INC","761 E 169TH ST BRONX NY 10456","BRONX",2015,2015
"3","2017069-1-DCA","Inactive",2015-01-06,2015-12-31,"Cigarette Retail Dealer","D & N CONVENIENCE STORE LLC","13 W BURNSIDE AVE BRONX NY 10453","BRONX",2015,2015
"4","2017151-1-DCA","Inactive",2015-01-08,2015-12-31,"Cigarette Retail Dealer","MARIAH DELI MINI MARKET INC","734 ASTOR AVE BRONX NY 10467","BRONX",2015,2015
"5","2017257-1-DCA","Inactive",2015-01-13,2015-12-31,"Cigarette Retail Dealer","167 HOT DELI CORP.","1205 COLLEGE AVE BRONX NY 10456","BRONX",2015,2015
"6","2020930-1-DCA","Inactive",2015-04-13,2015-12-31,"Cigarette Retail Dealer","PLAZA BANI FOOD CORP.","3001 KINGSBRIDGE TER BRONX NY 10463","BRONX",2015,2015
"7","2025118-1-DCA","Inactive",2015-07-01,2015-12-31,"Cigarette Retail Dealer","751 F & E GROCERY CORP.","751 HOME ST BRONX NY 10456","BRONX",2015,2015
"8","2017110-2-DCA","Inactive",2015-01-07,2016-12-31,"Cigarette Retail Dealer","BROTHER DELI I GROCERY CORP","699 BRITTON ST BRONX NY 10467","BRONX",2015,2016
"9","2017398-2-DCA","Inactive",2015-01-16,2016-12-31,"Cigarette Retail Dealer","LAURA DELI GROCERY CORP","1147 RIVER AVE BRONX NY 10452","BRONX",2015,2016
"10","2017576-2-DCA","Inactive",2015-01-26,2016-12-31,"Cigarette Retail Dealer","GREEN ZONE TOBACCO AND SMOKE SHOP CORP","87 W FORDHAM RD BRONX NY 10468","BRONX",2015,2016
"11","2017920-2-DCA","Inactive",2015-02-03,2016-12-31,"Cigarette Retail Dealer","LINDO SUPERMARKET CORP.","35 W 183RD ST BRONX NY 10453","BRONX",2015,2016
"12","2018074-2-DCA","Inactive",2015-02-09,2016-12-31,"Cigarette Retail Dealer","MOTOWN DELI AND GROCERY CORP","1681 BRUCKNER BLVD BRONX NY 10472","BRONX",2015,2016
"13","2018172-2-DCA","Inactive",2015-02-10,2016-12-31,"Cigarette Retail Dealer","1560 BRONX RIVER DELI GROCERY CORP","1560 E 174TH ST BRONX NY 10472","BRONX",2015,2016
"14","2018582-2-DCA","Inactive",2015-02-23,2016-12-31,"Cigarette Retail Dealer","PRIDE DELI AND GROCERY CORP","200 E 165TH ST BRONX NY 10456","BRONX",2015,2016
"15","2018727-2-DCA","Inactive",2015-02-26,2016-12-31,"Cigarette Retail Dealer","PEDRO CANELA","869 BRYANT AVE BRONX NY 10474","BRONX",2015,2016
"16","2018965-2-DCA","Inactive",2015-03-03,2016-12-31,"Cigarette Retail Dealer","JUANA'S AMAZING DELI AND CONVENIENCE STORE INC","395 E MOSHOLU PKWY N BRONX NY 10467","BRONX",2015,2016
"17","2019097-2-DCA","Inactive",2015-03-05,2016-12-31,"Cigarette Retail Dealer","DAVID'S MARKET, INC.","2385 GRAND CONCOURSE BRONX NY 10468","BRONX",2015,2016
"18","2019080-2-DCA","Inactive",2015-03-05,2016-12-31,"Cigarette Retail Dealer","DALAA DALAA DELI GROCERY CORP","1976 BIRCHALL AVE BRONX NY 10462","BRONX",2015,2016
