"","LICENSE_NBR","STATUS","CREATE_DATE","EXPIRATION_DATE","INDUSTRY","BUSINESS_NAME","address","BORO","Year","Year2"
"1","1379870-DCA","Inactive",2011-01-04,2012-12-31,"Cigarette Retail Dealer","KINGS OF CANARSIE GROCERY INC.","9801 AVENUE L BROOKLYN NY 11236","BROOKLYN",2011,2012
"2","1380068-DCA","Inactive",2011-01-05,2012-12-31,"Cigarette Retail Dealer","AMED, ABDULLA AHMED ABDO","162 DRIGGS AVE BROOKLYN NY 11222","BROOKLYN",2011,2012
"3","1380110-DCA","Inactive",2011-01-05,2012-12-31,"Cigarette Retail Dealer","DEKALB GOURMET DELI ONE INC.","447 DEKALB AVE BROOKLYN NY 11205","BROOKLYN",2011,2012
"4","1380202-DCA","Inactive",2011-01-06,2012-12-31,"Cigarette Retail Dealer","FANTASTIC DELI CORP.","64 WILLOUGHBY ST BROOKLYN NY 11201","BROOKLYN",2011,2012
"5","1380264-DCA","Inactive",2011-01-06,2012-12-31,"Cigarette Retail Dealer","OMAR S DELI GROCERY CORP.","2716 CHURCH AVE BROOKLYN NY 11226","BROOKLYN",2011,2012
"6","1380462-DCA","Inactive",2011-01-10,2012-12-31,"Cigarette Retail Dealer","HERNANDEZ-FERNANDEZ, EVARISTO LUCIANO","3210 FULTON ST BROOKLYN NY 11208","BROOKLYN",2011,2012
"7","1380368-DCA","Inactive",2011-01-10,2012-12-31,"Cigarette Retail Dealer","SARA ASSOCIATES INC.","1227 FULTON ST BROOKLYN NY 11216","BROOKLYN",2011,2012
"8","1380776-DCA","Inactive",2011-01-14,2012-12-31,"Cigarette Retail Dealer","SANTIAGO GROCERY CORP.","905 BROADWAY BROOKLYN NY 11206","BROOKLYN",2011,2012
"9","1381034-DCA","Inactive",2011-01-19,2012-12-31,"Cigarette Retail Dealer","EMPIRE STATE INTERNATIONAL CORPORATION","1760 FLATBUSH AVE BROOKLYN NY 11210","BROOKLYN",2011,2012
"10","1381040-DCA","Inactive",2011-01-19,2012-12-31,"Cigarette Retail Dealer","SHOSHE SANDWICH INC.","1313 W 6TH ST BROOKLYN NY 11204","BROOKLYN",2011,2012
"11","1381176-DCA","Inactive",2011-01-20,2012-12-31,"Cigarette Retail Dealer","559 JAMEEL DELI GROCERY CORP.","559 NEW LOTS AVE BROOKLYN NY 11207","BROOKLYN",2011,2012
