"","LICENSE_NBR","STATUS","CREATE_DATE","EXPIRATION_DATE","INDUSTRY","BUSINESS_NAME","address","BORO","Year","Year2"
"1","2017015-1-DCA","Inactive",2015-01-05,2015-12-31,"Cigarette Retail Dealer","BOUBACAR DIALLO","2061 7TH AVE NEW YORK NY 10027","MANHATTAN",2015,2015
"2","2018397-1-DCA","Inactive",2015-02-17,2015-12-31,"Cigarette Retail Dealer","3620 FINEST DELI CORP.","3620 BROADWAY NEW YORK NY 10031","MANHATTAN",2015,2015
"3","2017149-2-DCA","Inactive",2015-01-08,2016-12-31,"Cigarette Retail Dealer","KATI JUNCTION INC.","200 W 40TH ST NEW YORK NY 10018","MANHATTAN",2015,2016
"4","2017214-2-DCA","Inactive",2015-01-09,2016-12-31,"Cigarette Retail Dealer","F & N DELI INC","2363 A C POWELL BLVD NEW YORK NY 10030","MANHATTAN",2015,2016
"5","2017395-2-DCA","Inactive",2015-01-16,2016-12-31,"Cigarette Retail Dealer","STOP & SHOP NY INC","319 E HOUSTON ST NEW YORK NY 10002","MANHATTAN",2015,2016
"6","2017562-2-DCA","Inactive",2015-01-23,2016-12-31,"Cigarette Retail Dealer","HEADLINE NEWS II INC.","371 7TH AVE NEW YORK NY 10001","MANHATTAN",2015,2016
"7","2017811-2-DCA","Inactive",2015-01-29,2016-12-31,"Cigarette Retail Dealer","VILLAGE NEWSSTAND INC","112 GREENWICH AVE NEW YORK NY 10011","MANHATTAN",2015,2016
"8","2017931-2-DCA","Inactive",2015-02-04,2016-12-31,"Cigarette Retail Dealer","ZION FARM LLC","55 E 59TH ST NEW YORK NY 10022","MANHATTAN",2015,2016
"9","2018361-2-DCA","Inactive",2015-02-17,2016-12-31,"Cigarette Retail Dealer","Essentials Unlimited LLC","101 SHERMAN AVE NEW YORK NY 10034","MANHATTAN",2015,2016
"10","2018720-2-DCA","Inactive",2015-02-26,2016-12-31,"Cigarette Retail Dealer","J L I FOOD CORP","1607 SAINT NICHOLAS AVE NEW YORK NY 10040","MANHATTAN",2015,2016
"11","2018842-2-DCA","Inactive",2015-03-02,2016-12-31,"Cigarette Retail Dealer","Edible Kitchens I, Inc","213 PARK AVE S NEW YORK NY 10003","MANHATTAN",2015,2016
"12","2018831-2-DCA","Inactive",2015-03-02,2016-12-31,"Cigarette Retail Dealer","Z S News Stand Corp","1880 3RD AVE NEW YORK NY 10029","MANHATTAN",2015,2016
"13","2019392-2-DCA","Inactive",2015-03-11,2016-12-31,"Cigarette Retail Dealer","CAMPUS DELI AND GROCERY, INC.","501 W 139TH ST NEW YORK NY 10031","MANHATTAN",2015,2016
"14","2019519-2-DCA","Inactive",2015-03-13,2016-12-31,"Cigarette Retail Dealer","CITY CANDY LUCKY LOTTO, INC.","1871 LEXINGTON AVE NEW YORK NY 10035","MANHATTAN",2015,2016
"15","2019732-2-DCA","Inactive",2015-03-19,2016-12-31,"Cigarette Retail Dealer","Lobby Gift Shop Inc.","790 8TH AVE NEW YORK NY 10019","MANHATTAN",2015,2016
"16","2019821-2-DCA","Inactive",2015-03-20,2016-12-31,"Cigarette Retail Dealer","MAKKI DELI & GROCERY INC","440 E 9TH ST NEW YORK NY 10009","MANHATTAN",2015,2016
"17","2019775-2-DCA","Inactive",2015-03-20,2016-12-31,"Cigarette Retail Dealer","D & J GROCERY AND CONVENIENCE INC","59 NASSAU ST NEW YORK NY 10038","MANHATTAN",2015,2016
