"","LICENSE_NBR","STATUS","CREATE_DATE","EXPIRATION_DATE","INDUSTRY","BUSINESS_NAME","address","BORO","Year","Year2"
"1","2016983-1-DCA","Inactive",2015-01-02,2015-12-31,"Cigarette Retail Dealer","V & P FOOD CORP.","14435 JAMAICA AVE JAMAICA NY 11435","QUEENS",2015,2015
"2","2017045-1-DCA","Inactive",2015-01-05,2015-12-31,"Cigarette Retail Dealer","U & A GROCERY INC","8416 37TH AVE JACKSON HEIGHTS NY 11372","QUEENS",2015,2015
"3","2017160-1-DCA","Inactive",2015-01-08,2015-12-31,"Cigarette Retail Dealer","SAL'S MEAT MARKET LLC","10210 159TH RD HOWARD BEACH NY 11414","QUEENS",2015,2015
"4","2017251-1-DCA","Inactive",2015-01-13,2015-12-31,"Cigarette Retail Dealer","Broadway Gift & Lotto Inc","3714 BROADWAY ASTORIA NY 11103","QUEENS",2015,2015
"5","2018168-1-DCA","Inactive",2015-02-10,2015-12-31,"Cigarette Retail Dealer","OAIE & SONS CORP","969 SENECA AVE RIDGEWOOD NY 11385","QUEENS",2015,2015
"6","2018957-1-DCA","Inactive",2015-03-03,2015-12-31,"Cigarette Retail Dealer","LAGUARDIA SERVICE LLC","1 MAIN TERMINAL FLUSHING NY 11371","QUEENS",2015,2015
"7","2030986-1-DCA","Inactive",2015-12-01,2015-12-31,"Cigarette Retail Dealer","JAA DELI CORP.","4904 111TH ST CORONA NY 11368","QUEENS",2015,2015
"8","2017166-2-DCA","Inactive",2015-01-08,2016-12-31,"Cigarette Retail Dealer","Corporal Kennedy Market Inc.","4002 CORPORAL KENNEDY ST BAYSIDE NY 11361","QUEENS",2015,2016
"9","2017459-2-DCA","Inactive",2015-01-20,2016-12-31,"Cigarette Retail Dealer","MSA 22 INCORPORATED","8611 LEFFERTS BLVD RICHMOND HILL NY 11418","QUEENS",2015,2016
"10","2017476-2-DCA","Inactive",2015-01-21,2016-12-31,"Cigarette Retail Dealer","SIRI MEAT MARKET CORP","9329 JAMAICA AVE WOODHAVEN NY 11421","QUEENS",2015,2016
"11","2017518-2-DCA","Inactive",2015-01-22,2016-12-31,"Cigarette Retail Dealer","AL GOLDEN LION DELI CORP","13520 JAMAICA AVE RICHMOND HILL NY 11418","QUEENS",2015,2016
"12","2017575-2-DCA","Inactive",2015-01-26,2016-12-31,"Cigarette Retail Dealer","LUCKY JNK INC","6932 MYRTLE AVE GLENDALE NY 11385","QUEENS",2015,2016
"13","2017610-2-DCA","Inactive",2015-01-26,2016-12-31,"Cigarette Retail Dealer","AFTAN GROCERY INC","6816A WOODSIDE AVE WOODSIDE NY 11377","QUEENS",2015,2016
"14","2017794-2-DCA","Inactive",2015-01-29,2016-12-31,"Cigarette Retail Dealer","ZEES GROCERY INC","1802 COLLEGE POINT BLVD COLLEGE POINT NY 11356","QUEENS",2015,2016
"15","2017790-2-DCA","Inactive",2015-01-29,2016-12-31,"Cigarette Retail Dealer","RT FRUIT MARKET CORP","6745 MYRTLE AVE GLENDALE NY 11385","QUEENS",2015,2016
"16","2017808-2-DCA","Inactive",2015-01-29,2016-12-31,"Cigarette Retail Dealer","CIBAO EXPRESS GROCERY CORP.","17142 LIBERTY AVE JAMAICA NY 11433","QUEENS",2015,2016
"17","2017840-2-DCA","Inactive",2015-01-30,2016-12-31,"Cigarette Retail Dealer","NY CONVENIENCE CORPORATION","17945 HILLSIDE AVE JAMAICA NY 11432","QUEENS",2015,2016
"18","2017842-2-DCA","Inactive",2015-02-02,2016-12-31,"Cigarette Retail Dealer","S & K NYC DELI GROCERY INC.","11302 JAMAICA AVE RICHMOND HILL NY 11418","QUEENS",2015,2016
"19","2017857-2-DCA","Inactive",2015-02-02,2016-12-31,"Cigarette Retail Dealer","UMIYA DELI & GROCERY INC","22324 UNION TPKE OAKLAND GARDENS NY 11364","QUEENS",2015,2016
"20","2017893-2-DCA","Inactive",2015-02-03,2016-12-31,"Cigarette Retail Dealer","V & J CARIBBEAN MARKET INC","12614 111TH AVE SOUTH OZONE PARK NY 11420","QUEENS",2015,2016
"21","2017875-2-DCA","Inactive",2015-02-03,2016-12-31,"Cigarette Retail Dealer","SUPERIOR GRILL & DELI INC.","6500 MYRTLE AVE GLENDALE NY 11385","QUEENS",2015,2016
"22","2017927-2-DCA","Inactive",2015-02-04,2016-12-31,"Cigarette Retail Dealer","ARMANI DELI & GROCERY CORP.","7220 FOREST AVE RIDGEWOOD NY 11385","QUEENS",2015,2016
"23","2017937-2-DCA","Inactive",2015-02-04,2016-12-31,"Cigarette Retail Dealer","KING FAHD DELI AND GROCERY INC","13202 LIBERTY AVE SOUTH RICHMOND HILL NY 11419","QUEENS",2015,2016
"24","2018053-2-DCA","Inactive",2015-02-06,2016-12-31,"Cigarette Retail Dealer","BARCELONA GROCERY CORP","792 ONDERDONK AVE RIDGEWOOD NY 11385","QUEENS",2015,2016
"25","2018180-2-DCA","Inactive",2015-02-11,2016-12-31,"Cigarette Retail Dealer","S.K CANDY AND TOBACCO CORP","11002 101ST AVE SOUTH RICHMOND HILL NY 11419","QUEENS",2015,2016
"26","2018418-2-DCA","Inactive",2015-02-18,2016-12-31,"Cigarette Retail Dealer","NIDHI QUICK STOP INC.","17829 HILLSIDE AVE JAMAICA NY 11432","QUEENS",2015,2016
"27","2018513-2-DCA","Inactive",2015-02-20,2016-12-31,"Cigarette Retail Dealer","THE BOULEVARD DELI INC","4719 QUEENS BLVD SUNNYSIDE NY 11104","QUEENS",2015,2016
"28","2018506-2-DCA","Inactive",2015-02-20,2016-12-31,"Cigarette Retail Dealer","SUNRISE FAMOUS DELI & GRILL INC.","24722B S CONDUIT AVE ROSEDALE NY 11422","QUEENS",2015,2016
"29","2018698-2-DCA","Inactive",2015-02-25,2016-12-31,"Cigarette Retail Dealer","A.R. DELI AND GROCERY CORP","6825 FOREST AVE RIDGEWOOD NY 11385","QUEENS",2015,2016
"30","2018960-2-DCA","Inactive",2015-03-03,2016-12-31,"Cigarette Retail Dealer","NICKELBY MINI MARKET CORP.","17704 BAISLEY BLVD JAMAICA NY 11434","QUEENS",2015,2016
"31","2019027-2-DCA","Inactive",2015-03-04,2016-12-31,"Cigarette Retail Dealer","K & K CONVENIENCE STORE INC.","5814 MYRTLE AVE RIDGEWOOD NY 11385","QUEENS",2015,2016
"32","2019120-2-DCA","Inactive",2015-03-06,2016-12-31,"Cigarette Retail Dealer","NICKOLAS' DELI RESTAURANT CORP","6945 51ST AVE WOODSIDE NY 11377","QUEENS",2015,2016
"33","2019239-2-DCA","Inactive",2015-03-09,2016-12-31,"Cigarette Retail Dealer","DENISE GROCERY & DELI INC","3502 ASTORIA BLVD SOUTH ASTORIA NY 11103","QUEENS",2015,2016
"34","2019405-2-DCA","Inactive",2015-03-12,2016-12-31,"Cigarette Retail Dealer","501 SENECA AVE DELI & GROCERY CORP","501 SENECA AVE RIDGEWOOD NY 11385","QUEENS",2015,2016
"35","2019398-2-DCA","Inactive",2015-03-12,2016-12-31,"Cigarette Retail Dealer","WEDYAN MINI MARKET CORP","4718 30TH AVE ASTORIA NY 11103","QUEENS",2015,2016
"36","2019520-2-DCA","Inactive",2015-03-13,2016-12-31,"Cigarette Retail Dealer","RNIEL BROS PROPERTY INC","7909 ROCKAWAY BLVD WOODHAVEN NY 11421","QUEENS",2015,2016
"37","2019621-2-DCA","Inactive",2015-03-17,2016-12-31,"Cigarette Retail Dealer","RODRIGUEZ DELI GROCERY NY CORP","172 WOODWARD AVE RIDGEWOOD NY 11385","QUEENS",2015,2016
"38","2019634-2-DCA","Inactive",2015-03-17,2016-12-31,"Cigarette Retail Dealer","ALMIGHTY DELI GROCERY CORP","7408 JAMAICA AVE WOODHAVEN NY 11421","QUEENS",2015,2016
"39","2020051-2-DCA","Inactive",2015-03-26,2016-12-31,"Cigarette Retail Dealer","LIN'S FIRE HOUSE DELI & GROCERY CORP.","5615 METROPOLITAN AVE RIDGEWOOD NY 11385","QUEENS",2015,2016
"40","2020090-2-DCA","Inactive",2015-03-27,2016-12-31,"Cigarette Retail Dealer","AMARI, YANOUF A","13528 ROCKAWAY BLVD SOUTH OZONE PARK NY 11420","QUEENS",2015,2016
"41","2020095-2-DCA","Inactive",2015-03-27,2016-12-31,"Cigarette Retail Dealer","MVP DELI CORP","13609 FARMERS BLVD JAMAICA NY 11434","QUEENS",2015,2016
"42","2020310-2-DCA","Inactive",2015-04-01,2016-12-31,"Cigarette Retail Dealer","GOURMET DELI 65 CORP","6542 WOODSIDE AVE WOODSIDE NY 11377","QUEENS",2015,2016
"43","2020363-2-DCA","Inactive",2015-04-02,2016-12-31,"Cigarette Retail Dealer","ROCKAWAY FAMOUS DELI & GRILL INC","15723 ROCKAWAY BLVD JAMAICA NY 11434","QUEENS",2015,2016
"44","2020359-2-DCA","Inactive",2015-04-02,2016-12-31,"Cigarette Retail Dealer","93RD DELI CORP","9222 ASTORIA BLVD EAST ELMHURST NY 11369","QUEENS",2015,2016
"45","2020463-2-DCA","Inactive",2015-04-03,2016-12-31,"Cigarette Retail Dealer","FRIENDLY DISCOUNT STORE INC.","4216 BROADWAY ASTORIA NY 11103","QUEENS",2015,2016
"46","2020610-2-DCA","Inactive",2015-04-07,2016-12-31,"Cigarette Retail Dealer","NINI'S DELI & GROCERY CORP","3601 10TH ST LONG ISLAND CITY NY 11106","QUEENS",2015,2016
"47","2020648-2-DCA","Inactive",2015-04-07,2016-12-31,"Cigarette Retail Dealer","FAMILY DOLLAR STORES OF NEW YORK, INC. # 11145","16842 JAMAICA AVE JAMAICA NY 11432","QUEENS",2015,2016
"48","2020721-2-DCA","Inactive",2015-04-08,2016-12-31,"Cigarette Retail Dealer","TWIST MARKET 3270 INC","3270 31ST ST ASTORIA NY 11106","QUEENS",2015,2016
"49","2020694-2-DCA","Inactive",2015-04-08,2016-12-31,"Cigarette Retail Dealer","AIDEN GOURMET DELI & GROCERY CORP","8901 80TH ST WOODHAVEN NY 11421","QUEENS",2015,2016
"50","2020846-2-DCA","Inactive",2015-04-10,2016-12-31,"Cigarette Retail Dealer","20/20 GROCERY AND DELI CORP","5814 BEACH CHANNEL DR ARVERNE NY 11692","QUEENS",2015,2016
"51","2020883-2-DCA","Inactive",2015-04-13,2016-12-31,"Cigarette Retail Dealer","MITUAL CONVENIENCE USA INC","9802 QUEENS BLVD REGO PARK NY 11374","QUEENS",2015,2016
"52","2021025-2-DCA","Inactive",2015-04-14,2016-12-31,"Cigarette Retail Dealer","TIBA GOURMET DELI INC","8712 WOODHAVEN BLVD WOODHAVEN NY 11421","QUEENS",2015,2016
"53","2021760-2-DCA","Inactive",2015-04-28,2016-12-31,"Cigarette Retail Dealer","L.P. MINI MARKET CORP","11202 FARMERS BLVD SAINT ALBANS NY 11412","QUEENS",2015,2016
"54","2022038-2-DCA","Inactive",2015-05-01,2016-12-31,"Cigarette Retail Dealer","LOTUS AIRPORT OIL CORP","13344 150TH ST JAMAICA NY 11436","QUEENS",2015,2016
"55","2022298-2-DCA","Inactive",2015-05-06,2016-12-31,"Cigarette Retail Dealer","69 & NORTHERN DAILY, INC.","6903 NORTHERN BLVD WOODSIDE NY 11377","QUEENS",2015,2016
"56","2022254-2-DCA","Inactive",2015-05-06,2016-12-31,"Cigarette Retail Dealer","H & K GROCERY STORE INC","8606 JAMAICA AVE WOODHAVEN NY 11421","QUEENS",2015,2016
"57","2022662-2-DCA","Inactive",2015-05-13,2016-12-31,"Cigarette Retail Dealer","DAY AND NIGHT DELI","1479 BEACH CHANNEL DR FAR ROCKAWAY NY 11691","QUEENS",2015,2016
"58","2022667-2-DCA","Inactive",2015-05-13,2016-12-31,"Cigarette Retail Dealer","BAGHDAD DELI CORP","21511 JAMAICA AVE QUEENS VILLAGE NY 11428","QUEENS",2015,2016
"59","2022816-2-DCA","Inactive",2015-05-14,2016-12-31,"Cigarette Retail Dealer","3 HANDS DELI & GRILL I CORP","23134 MERRICK BLVD LAURELTON NY 11413","QUEENS",2015,2016
"60","2022987-2-DCA","Inactive",2015-05-18,2016-12-31,"Cigarette Retail Dealer","HIDALGO MEXICAN DELI & GROCERY CORP","3509 VERNON BLVD ASTORIA NY 11106","QUEENS",2015,2016
"61","2023008-2-DCA","Inactive",2015-05-18,2016-12-31,"Cigarette Retail Dealer","FAMILY ORGANIC DELI LLC","6837 FRESH POND RD RIDGEWOOD NY 11385","QUEENS",2015,2016
"62","2023119-2-DCA","Inactive",2015-05-20,2016-12-31,"Cigarette Retail Dealer","JOSEPH STATIONERY LLC","16977 137TH AVE JAMAICA NY 11434","QUEENS",2015,2016
"63","2023189-2-DCA","Inactive",2015-05-21,2016-12-31,"Cigarette Retail Dealer","SURIEL DELI & GROCERY INC","13111 JAMAICA AVE RICHMOND HILL NY 11418","QUEENS",2015,2016
"64","2023256-2-DCA","Inactive",2015-05-22,2016-12-31,"Cigarette Retail Dealer","JOHANNA FOODS CORP","5020 103RD ST CORONA NY 11368","QUEENS",2015,2016
"65","2023233-2-DCA","Inactive",2015-05-22,2016-12-31,"Cigarette Retail Dealer","DOMENICO LACORTE, &  ANGELA CATANIA","7135 73RD PL GLENDALE NY 11385","QUEENS",2015,2016
"66","2023371-2-DCA","Inactive",2015-05-27,2016-12-31,"Cigarette Retail Dealer","ALZAEEM GROCERY CORP","3318 31ST AVE ASTORIA NY 11106","QUEENS",2015,2016
"67","2023481-2-DCA","Inactive",2015-05-28,2016-12-31,"Cigarette Retail Dealer","Family 99 Plus Convenience Inc.","8529 GRAND AVE ELMHURST NY 11373","QUEENS",2015,2016
